,Field,Subfield,Year,Month,Price
0,全部,N/A,2017,12,12034
1,全部,N/A,2017,11,11617
2,全部,N/A,2017,10,11068
3,全部,N/A,2017,09,10562
4,全部,N/A,2017,08,10185
5,全部,N/A,2017,07,9992
6,全部,N/A,2017,06,9839
7,全部,N/A,2017,05,9636
8,全部,N/A,2017,04,9403
9,全部,N/A,2017,03,9024
10,全部,N/A,2017,02,8698
11,全部,N/A,2017,01,8674
0,青羊,全部,2017,12,16048
1,青羊,全部,2017,11,15320
2,青羊,全部,2017,10,14549
3,青羊,全部,2017,09,13987
4,青羊,全部,2017,08,13539
5,青羊,全部,2017,07,13166
6,青羊,全部,2017,06,12729
7,青羊,全部,2017,05,12432
8,青羊,全部,2017,04,12074
9,青羊,全部,2017,03,11572
10,青羊,全部,2017,02,10892
11,青羊,全部,2017,01,10774
0,青羊,贝森,2017,12,19649
1,青羊,贝森,2017,11,19090
2,青羊,贝森,2017,10,17975
3,青羊,贝森,2017,09,17520
4,青羊,贝森,2017,08,16515
5,青羊,贝森,2017,07,13702
6,青羊,贝森,2017,06,12103
7,青羊,贝森,2017,05,11609
8,青羊,贝森,2017,04,11615
9,青羊,贝森,2017,03,9966
10,青羊,贝森,2017,02,8856
11,青羊,贝森,2017,01,8714
0,青羊,贝森,2017,12,19649
1,青羊,贝森,2017,11,19090
2,青羊,贝森,2017,10,17975
3,青羊,贝森,2017,09,17520
4,青羊,贝森,2017,08,16515
5,青羊,贝森,2017,07,13702
6,青羊,贝森,2017,06,12103
7,青羊,贝森,2017,05,11609
8,青羊,贝森,2017,04,11615
9,青羊,贝森,2017,03,9966
10,青羊,贝森,2017,02,8856
11,青羊,贝森,2017,01,8714
0,青羊,八宝街,2017,12,18584
1,青羊,八宝街,2017,11,17502
2,青羊,八宝街,2017,10,16907
3,青羊,八宝街,2017,09,16796
4,青羊,八宝街,2017,08,16146
5,青羊,八宝街,2017,07,16009
6,青羊,八宝街,2017,06,15779
7,青羊,八宝街,2017,05,15084
8,青羊,八宝街,2017,04,14613
9,青羊,八宝街,2017,03,12735
10,青羊,八宝街,2017,02,11748
11,青羊,八宝街,2017,01,11912
0,青羊,八宝街,2017,12,18584
1,青羊,八宝街,2017,11,17502
2,青羊,八宝街,2017,10,16907
3,青羊,八宝街,2017,09,16796
4,青羊,八宝街,2017,08,16146
5,青羊,八宝街,2017,07,16009
6,青羊,八宝街,2017,06,15779
7,青羊,八宝街,2017,05,15084
8,青羊,八宝街,2017,04,14613
9,青羊,八宝街,2017,03,12735
10,青羊,八宝街,2017,02,11748
11,青羊,八宝街,2017,01,11912
0,青羊,草堂,2017,12,14325
1,青羊,草堂,2017,11,13250
2,青羊,草堂,2017,10,12527
3,青羊,草堂,2017,09,11898
4,青羊,草堂,2017,08,11503
5,青羊,草堂,2017,07,11699
6,青羊,草堂,2017,06,11529
7,青羊,草堂,2017,05,11169
8,青羊,草堂,2017,04,10824
9,青羊,草堂,2017,03,11089
10,青羊,草堂,2017,02,10228
11,青羊,草堂,2017,01,10004
0,青羊,草堂,2017,12,14325
1,青羊,草堂,2017,11,13250
2,青羊,草堂,2017,10,12527
3,青羊,草堂,2017,09,11898
4,青羊,草堂,2017,08,11503
5,青羊,草堂,2017,07,11699
6,青羊,草堂,2017,06,11529
7,青羊,草堂,2017,05,11169
8,青羊,草堂,2017,04,10824
9,青羊,草堂,2017,03,11089
10,青羊,草堂,2017,02,10228
11,青羊,草堂,2017,01,10004
0,青羊,府南新区,2017,12,13422
1,青羊,府南新区,2017,11,12894
2,青羊,府南新区,2017,10,11776
3,青羊,府南新区,2017,09,11015
4,青羊,府南新区,2017,08,10596
5,青羊,府南新区,2017,07,10140
6,青羊,府南新区,2017,06,9986
7,青羊,府南新区,2017,05,9505
8,青羊,府南新区,2017,04,9358
9,青羊,府南新区,2017,03,9051
10,青羊,府南新区,2017,02,8609
11,青羊,府南新区,2017,01,8455
0,青羊,府南新区,2017,12,13422
1,青羊,府南新区,2017,11,12894
2,青羊,府南新区,2017,10,11776
3,青羊,府南新区,2017,09,11015
4,青羊,府南新区,2017,08,10596
5,青羊,府南新区,2017,07,10140
6,青羊,府南新区,2017,06,9986
7,青羊,府南新区,2017,05,9505
8,青羊,府南新区,2017,04,9358
9,青羊,府南新区,2017,03,9051
10,青羊,府南新区,2017,02,8609
11,青羊,府南新区,2017,01,8455
0,青羊,光华村,2017,12,13300
1,青羊,光华村,2017,11,12454
2,青羊,光华村,2017,10,11976
3,青羊,光华村,2017,09,11817
4,青羊,光华村,2017,08,11528
5,青羊,光华村,2017,07,11276
6,青羊,光华村,2017,06,10971
7,青羊,光华村,2017,05,10934
8,青羊,光华村,2017,04,10718
9,青羊,光华村,2017,03,9991
10,青羊,光华村,2017,02,9497
11,青羊,光华村,2017,01,9500
0,青羊,光华村,2017,12,13300
1,青羊,光华村,2017,11,12454
2,青羊,光华村,2017,10,11976
3,青羊,光华村,2017,09,11817
4,青羊,光华村,2017,08,11528
5,青羊,光华村,2017,07,11276
6,青羊,光华村,2017,06,10971
7,青羊,光华村,2017,05,10934
8,青羊,光华村,2017,04,10718
9,青羊,光华村,2017,03,9991
10,青羊,光华村,2017,02,9497
11,青羊,光华村,2017,01,9500
0,青羊,浣花溪,2017,12,25723
1,青羊,浣花溪,2017,11,25557
2,青羊,浣花溪,2017,10,25034
3,青羊,浣花溪,2017,09,24511
4,青羊,浣花溪,2017,08,24406
5,青羊,浣花溪,2017,07,21408
6,青羊,浣花溪,2017,06,20530
7,青羊,浣花溪,2017,05,19841
8,青羊,浣花溪,2017,04,19288
9,青羊,浣花溪,2017,03,17415
10,青羊,浣花溪,2017,02,14819
11,青羊,浣花溪,2017,01,15309
0,青羊,浣花溪,2017,12,25723
1,青羊,浣花溪,2017,11,25557
2,青羊,浣花溪,2017,10,25034
3,青羊,浣花溪,2017,09,24511
4,青羊,浣花溪,2017,08,24406
5,青羊,浣花溪,2017,07,21408
6,青羊,浣花溪,2017,06,20530
7,青羊,浣花溪,2017,05,19841
8,青羊,浣花溪,2017,04,19288
9,青羊,浣花溪,2017,03,17415
10,青羊,浣花溪,2017,02,14819
11,青羊,浣花溪,2017,01,15309
0,青羊,黄田坝,2017,12,12896
1,青羊,黄田坝,2017,11,12447
2,青羊,黄田坝,2017,10,11749
3,青羊,黄田坝,2017,09,11295
4,青羊,黄田坝,2017,08,11434
5,青羊,黄田坝,2017,07,11225
6,青羊,黄田坝,2017,06,9974
7,青羊,黄田坝,2017,05,9595
8,青羊,黄田坝,2017,04,8490
9,青羊,黄田坝,2017,03,7710
10,青羊,黄田坝,2017,02,6874
11,青羊,黄田坝,2017,01,6799
0,青羊,黄田坝,2017,12,12896
1,青羊,黄田坝,2017,11,12447
2,青羊,黄田坝,2017,10,11749
3,青羊,黄田坝,2017,09,11295
4,青羊,黄田坝,2017,08,11434
5,青羊,黄田坝,2017,07,11225
6,青羊,黄田坝,2017,06,9974
7,青羊,黄田坝,2017,05,9595
8,青羊,黄田坝,2017,04,8490
9,青羊,黄田坝,2017,03,7710
10,青羊,黄田坝,2017,02,6874
11,青羊,黄田坝,2017,01,6799
0,青羊,金沙,2017,12,23127
1,青羊,金沙,2017,11,22066
2,青羊,金沙,2017,10,21113
3,青羊,金沙,2017,09,20348
4,青羊,金沙,2017,08,19655
5,青羊,金沙,2017,07,18861
6,青羊,金沙,2017,06,18300
7,青羊,金沙,2017,05,17861
8,青羊,金沙,2017,04,17835
9,青羊,金沙,2017,03,16452
10,青羊,金沙,2017,02,14935
11,青羊,金沙,2017,01,14602
0,青羊,金沙,2017,12,23127
1,青羊,金沙,2017,11,22066
2,青羊,金沙,2017,10,21113
3,青羊,金沙,2017,09,20348
4,青羊,金沙,2017,08,19655
5,青羊,金沙,2017,07,18861
6,青羊,金沙,2017,06,18300
7,青羊,金沙,2017,05,17861
8,青羊,金沙,2017,04,17835
9,青羊,金沙,2017,03,16452
10,青羊,金沙,2017,02,14935
11,青羊,金沙,2017,01,14602
0,青羊,骡马市,2017,12,15148
1,青羊,骡马市,2017,11,14962
2,青羊,骡马市,2017,10,14617
3,青羊,骡马市,2017,09,14216
4,青羊,骡马市,2017,08,14222
5,青羊,骡马市,2017,07,13897
6,青羊,骡马市,2017,06,13482
7,青羊,骡马市,2017,05,12983
8,青羊,骡马市,2017,04,12248
9,青羊,骡马市,2017,03,11616
10,青羊,骡马市,2017,02,11001
11,青羊,骡马市,2017,01,10985
0,青羊,骡马市,2017,12,15148
1,青羊,骡马市,2017,11,14962
2,青羊,骡马市,2017,10,14617
3,青羊,骡马市,2017,09,14216
4,青羊,骡马市,2017,08,14222
5,青羊,骡马市,2017,07,13897
6,青羊,骡马市,2017,06,13482
7,青羊,骡马市,2017,05,12983
8,青羊,骡马市,2017,04,12248
9,青羊,骡马市,2017,03,11616
10,青羊,骡马市,2017,02,11001
11,青羊,骡马市,2017,01,10985
0,青羊,青羊宫,2017,12,21849
1,青羊,青羊宫,2017,11,21212
2,青羊,青羊宫,2017,10,20357
3,青羊,青羊宫,2017,09,19645
4,青羊,青羊宫,2017,08,19961
5,青羊,青羊宫,2017,07,19204
6,青羊,青羊宫,2017,06,17243
7,青羊,青羊宫,2017,05,16383
8,青羊,青羊宫,2017,04,14951
9,青羊,青羊宫,2017,03,13383
10,青羊,青羊宫,2017,02,12583
11,青羊,青羊宫,2017,01,12477
0,青羊,青羊宫,2017,12,21849
1,青羊,青羊宫,2017,11,21212
2,青羊,青羊宫,2017,10,20357
3,青羊,青羊宫,2017,09,19645
4,青羊,青羊宫,2017,08,19961
5,青羊,青羊宫,2017,07,19204
6,青羊,青羊宫,2017,06,17243
7,青羊,青羊宫,2017,05,16383
8,青羊,青羊宫,2017,04,14951
9,青羊,青羊宫,2017,03,13383
10,青羊,青羊宫,2017,02,12583
11,青羊,青羊宫,2017,01,12477
0,青羊,人民公园,2017,12,19335
1,青羊,人民公园,2017,11,18478
2,青羊,人民公园,2017,10,17287
3,青羊,人民公园,2017,09,16077
4,青羊,人民公园,2017,08,16014
5,青羊,人民公园,2017,07,17672
6,青羊,人民公园,2017,06,17336
7,青羊,人民公园,2017,05,16347
8,青羊,人民公园,2017,04,15830
9,青羊,人民公园,2017,03,16249
10,青羊,人民公园,2017,02,15697
11,青羊,人民公园,2017,01,15169
0,青羊,人民公园,2017,12,19335
1,青羊,人民公园,2017,11,18478
2,青羊,人民公园,2017,10,17287
3,青羊,人民公园,2017,09,16077
4,青羊,人民公园,2017,08,16014
5,青羊,人民公园,2017,07,17672
6,青羊,人民公园,2017,06,17336
7,青羊,人民公园,2017,05,16347
8,青羊,人民公园,2017,04,15830
9,青羊,人民公园,2017,03,16249
10,青羊,人民公园,2017,02,15697
11,青羊,人民公园,2017,01,15169
0,青羊,苏坡立交,2017,12,19464
1,青羊,苏坡立交,2017,11,19405
2,青羊,苏坡立交,2017,10,18152
3,青羊,苏坡立交,2017,09,17172
4,青羊,苏坡立交,2017,08,16252
5,青羊,苏坡立交,2017,07,15529
6,青羊,苏坡立交,2017,06,15106
7,青羊,苏坡立交,2017,05,13906
8,青羊,苏坡立交,2017,04,13565
9,青羊,苏坡立交,2017,03,12806
10,青羊,苏坡立交,2017,02,12039
11,青羊,苏坡立交,2017,01,11459
0,青羊,少城,2017,12,20027
1,青羊,少城,2017,11,19489
2,青羊,少城,2017,10,18870
3,青羊,少城,2017,09,18219
4,青羊,少城,2017,08,18342
5,青羊,少城,2017,07,17070
6,青羊,少城,2017,06,15381
7,青羊,少城,2017,05,15001
8,青羊,少城,2017,04,13342
9,青羊,少城,2017,03,11987
10,青羊,少城,2017,02,11552
11,青羊,少城,2017,01,11542
0,青羊,少城,2017,12,20027
1,青羊,少城,2017,11,19489
2,青羊,少城,2017,10,18870
3,青羊,少城,2017,09,18219
4,青羊,少城,2017,08,18342
5,青羊,少城,2017,07,17070
6,青羊,少城,2017,06,15381
7,青羊,少城,2017,05,15001
8,青羊,少城,2017,04,13342
9,青羊,少城,2017,03,11987
10,青羊,少城,2017,02,11552
11,青羊,少城,2017,01,11542
0,青羊,太升路,2017,12,14706
1,青羊,太升路,2017,11,13647
2,青羊,太升路,2017,10,13046
3,青羊,太升路,2017,09,12368
4,青羊,太升路,2017,08,12114
5,青羊,太升路,2017,07,11973
6,青羊,太升路,2017,06,11912
7,青羊,太升路,2017,05,11770
8,青羊,太升路,2017,04,11414
9,青羊,太升路,2017,03,11922
10,青羊,太升路,2017,02,9952
11,青羊,太升路,2017,01,9943
0,青羊,太升路,2017,12,14706
1,青羊,太升路,2017,11,13647
2,青羊,太升路,2017,10,13046
3,青羊,太升路,2017,09,12368
4,青羊,太升路,2017,08,12114
5,青羊,太升路,2017,07,11973
6,青羊,太升路,2017,06,11912
7,青羊,太升路,2017,05,11770
8,青羊,太升路,2017,04,11414
9,青羊,太升路,2017,03,11922
10,青羊,太升路,2017,02,9952
11,青羊,太升路,2017,01,9943
0,青羊,天府广场,2017,12,17274
1,青羊,天府广场,2017,11,17505
2,青羊,天府广场,2017,10,17003
3,青羊,天府广场,2017,09,16121
4,青羊,天府广场,2017,08,14224
5,青羊,天府广场,2017,07,15297
6,青羊,天府广场,2017,06,12969
7,青羊,天府广场,2017,05,12598
8,青羊,天府广场,2017,04,12885
9,青羊,天府广场,2017,03,12600
10,青羊,天府广场,2017,02,11654
11,青羊,天府广场,2017,01,10360
0,青羊,天府广场,2017,12,17274
1,青羊,天府广场,2017,11,17505
2,青羊,天府广场,2017,10,17003
3,青羊,天府广场,2017,09,16121
4,青羊,天府广场,2017,08,14224
5,青羊,天府广场,2017,07,15297
